date;Parc;Usage;Revenu
22/11/2022;7962;9960,73;581,55
23/11/2022;7965;10265,68;592,5
24/11/2022;7974;10261,47;587,64
25/11/2022;7981;10271,12;589,01
26/11/2022;7981;10002,22;570,25
27/11/2022;7970;9035,13;521,67
28/11/2022;7967;9935,35;597,86
29/11/2022;7984;9719,86;573,38
30/11/2022;8020;10295,41;597,24
01/12/2022;8027;10229,02;615,92
02/12/2022;8049;10467,95;616,1
03/12/2022;8034;10288,72;613,44
04/12/2022;8009;9235,84;543,04
05/12/2022;7993;10368,32;638,53
06/12/2022;8012;10483,25;617,11
07/12/2022;8006;10523,58;608,97
08/12/2022;8000;10506,56;609,07
09/12/2022;7993;10189,59;599,82
10/12/2022;7997;10383,33;612
11/12/2022;7978;8862,61;507,7
12/12/2022;7978;10137,95;624,31
13/12/2022;7982;9664,81;574,02
14/12/2022;7999;10297,38;595,58
15/12/2022;8016;10600,55;616,49
16/12/2022;8030;10520,78;598,93
17/12/2022;8024;10546,08;615,11
18/12/2022;8002;9207,28;523,3
19/12/2022;7988;10316,23;623,04
20/12/2022;8007;10728,57;631,82
21/12/2022;8016;10641,29;619,41
22/12/2022;8027;10580,86;634,56
23/12/2022;8039;11273,04;670,76
24/12/2022;8045;11514,63;674,32
25/12/2022;8046;10580,69;604,61
26/12/2022;8059;10830,16;646,41
27/12/2022;8068;10866,61;648,05
28/12/2022;8079;11155,46;643,12
29/12/2022;8080;11161,89;660,87
30/12/2022;8084;11434,79;684,96
31/12/2022;8058;13298,38;808,79
01/01/2023;8067;11820,49;644,98
02/01/2023;8050;10233,02;621,79
03/01/2023;8062;10214,99;607,3
